Título;Provincia;Fecha publicación;Descripción;ProvinciaAlternativa;FuenteContenido;ID Localidad;Localidad;Latitud;Longitud;Código localidad;Identificador;actualizacion de metadatos;Enlace al contenido;Posicion
ENFERMEROS DE CUIDADOS GENERALES;León;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394626'>Oficina Virtual</a></p>;;ECYL;1179297865414;Mansilla de las Mulas;42.4989227004;-5.41787795395;24;1285680216512;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680216512/Empleo;42.4989227004, -5.41787795395
ENFERMEROS DE CUIDADOS GENERALES;León;2026-09-18;"<p>Oferta 19580 de enfermera/o para la Junta de Castilla y León (Dirección Provincial de Educación)
Contrato temporal, jornada completa
Se require diplomatura o grado en enfermeria
Interesadas/os ponerse en contacto con la oficina de empleo Serna.Tf.987215200</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394396'>Oficina Virtual</a></p>";;ECYL;1179298023568;Villaquilambre;42.641293;-5.557725;24;1285680474490;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680474490/Empleo;42.641293, -5.557725
COCINEROS, EN GENERAL;León;2026-09-18;"<p>Nº OFERTA 19840 UN PUESTO DE COCINERO/A para residencia de personas mayores en Cubillos del Sil.
REQUISITOS:experiencia y permiso de conducir
CONDICIONES: Contrato indefinido, jornada completa y turnos rotativos
PERSONAS INTERESADAS CONTACTAR O.E DE PONFERRADA TEFL.: 987 410 859 EXT-2</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394656'>Oficina Virtual</a></p>";;ECYL;1179297831508;Cubillos del Sil;42.623627;-6.5640883;24;1285680402564;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680402564/Empleo;42.623627, -6.5640883
TERAPEUTAS OCUPACIONALES;León;2026-09-18;<p>Funciones: Valoración ocupacioanl/sensorial e intervención directa con personas con trastorno del espectro autista (TEA). Intervención y desarrollo de sesiones en sala multisensorial y procesamiento sensorial. Diseño, aplicación y seguimiento de planes individuales de apoyo. Coordinación con el grupo técnico. Se valorará la formación o experiencia en trastorno del espectro autista. La formación en integración sensorial.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394655'>Oficina Virtual</a></p>;;ECYL;1179297860755;León;42.59873;-5.5670958;24;1285680536973;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680536973/Empleo;42.59873, -5.5670958
MONTADORES DE GRANDES ESTRUCTURAS METÁLICAS, EN GENERAL;León;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394344'>Oficina Virtual</a></p>;;ECYL;1179297796730;Camponaraya;42.5795903406;-6.67168577469;24;1285680473545;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473545/Empleo;42.5795903406, -6.67168577469
TÉCNICOS EN DISEÑO DE SISTEMAS DE CONTROL ELÉCTRICO;León;2026-09-18;"<p>Oferta nº 19848
Empresa Tecoi Corte en el Polígono Industrial la Herrera I s/n, en el municipio de Sabero (León),
Solicita: Diseñador electrico.
Requistos: Experiencia: 36 meses
Certificado de discapacidad igual o superior al 33%.
Formacion universitaria técnica o Formacion Profesional en Electricidad, Electrónica, Automatización industrial o similar.
Manejo de software CAD eléctrico (SEE Electrical, EPLAN o similar).
Inglés nivel alto (B2).
Ofrece: contrato indefinido a jornada completa.
Interesados/as: contactar con Sección ofertas de la Oficina de Empleo de Cistierna. 987701387. ecylcistierna@jcyl.es</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394664'>Oficina Virtual</a></p>";;ECYL;1179297922360;Sabero;42.837086;-5.1497226;24;1285680474556;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680474556/Empleo;42.837086, -5.1497226
CUIDADORES DE PERSONAS CON DISCAPACIDAD Y/O DEPENDENCIA, EN INSTITUCIONES;León;2026-09-18;"<p>OFERTA nº 08/2026/19859.
Se busca gerocultor/a para residencia de mayores en Carracedelo. Se ofrece contrato indefinido a jornada completa. Requisitos: titulación T.C.A.E. o certificado de profesionalidad correspondiente.
INTERESADOS CONTACTAR O.E. PONFERRADA tfno. 987410859 ? EXT.2</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394675'>Oficina Virtual</a></p>";;ECYL;1179297809126;Carracedelo;42.555916;-6.732697;24;1285680473403;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473403/Empleo;42.555916, -6.732697
CUIDADORES DE PERSONAS CON DISCAPACIDAD Y/O DEPENDENCIA, EN INSTITUCIONES;León;2026-09-18;"<p>OFERTA nº 08/2026/19843.
Se busca gerocultor/a para residencia de mayores. Se ofrece contrato indefinido a jornada completa. REQUISITOS: titulación T.C.A.E. o certificado de profesionalidad.
INTERESADOS CONTACTAR O.E. PONFERRADA tfno. 987410859 ? EXT.2</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394659'>Oficina Virtual</a></p>";;ECYL;1179297825013;Corullón;42.578743;-6.819692;24;1285680473375;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473375/Empleo;42.578743, -6.819692
PANADEROS;León;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394317'>Oficina Virtual</a></p>;;ECYL;1179298006426;Villablino;42.94157;-6.327653;24;1285680341936;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680341936/Empleo;42.94157, -6.327653
PEONES AGRÍCOLAS, EN GENERAL;León;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394300'>Oficina Virtual</a></p>;;ECYL;1179297796349;Campo de Villavidel;42.436893;-5.527339;24;1285680288351;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680288351/Empleo;42.436893, -5.527339
PROFESORES TÉCNICOS DE FORMACIÓN PROFESIONAL (ELECTRICIDAD Y ELECTRÓNICA);Palencia;2026-09-18;<p>PROFESOR DE SECUNDARIA, ESPECIALIDAD: INSTALACIONES ELECTRÓNICAS. CENTRO: IES GUARDO, 9 HORAS LECTIVAS A LA SEMANA. PLAZA VACANTE NO CUBIERTA Y PREVISIÓN HASTA EL 31/08/2027. TITULACIÓN REQUERIDA: LICENCIATURA EN FÍSICA, INGENIERÍA TÉCNICA O GRADO EN INGENIERÍA INDUSTRIAL ESPECIALIDAD EN ELECTRONICA INDUSTRIAL, INGENIERÍA DE TELECOMUNICACION, AEORONÁUTICA O ELECTRÓNICA. DISPONER CERTIFICADO DE APTITUD PEDAGÓGICA.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394636'>Oficina Virtual</a></p>;;ECYL;1179298084384;Guardo;42.7899222689;-4.8474772491;34;1285680403349;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680403349/Empleo;42.7899222689, -4.8474772491
EMPLEADOS ADMINISTRATIVOS DE SERVICIOS DE PERSONAL;Palencia;2026-09-18;<p>Contrato indefinido, jornada completa.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394638'>Oficina Virtual</a></p>;;ECYL;1179298103860;Palencia;42.01112;-4.532032;34;1285680288104;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680288104/Empleo;42.01112, -4.532032
DELINEANTES, EN GENERAL;Salamanca;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394326'>Oficina Virtual</a></p>;;ECYL;1179298254513;Guijuelo;40.560574;-5.676764;37;1285680403490;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680403490/Empleo;40.560574, -5.676764
TRABAJADORES DE GANADO PORCINO EN EXTENSIVO;Salamanca;2026-09-18;"<p>LA EMPRESA HERMANOS GONZÁLEZ GÓMEZ BUSCA CUIDADOR DE ANIMALES DE GRANJA PORCINA.
FUNCIONES: 
-CUIDADO Y ALIMENTACIÓN DE ANIMALES
-SUPERVISIONDE SU ESTADOY BIENESTAR
-ATENCION AL CUIDADO DE LOS LECHONES
-LIMPIEZA Y MANTENIMIENTO BASICO DE DIFERENTES AREAS
OFRECEN: CONTRATO INDEFINIDO A JORNADA COMPLETA Y SALRIO DE 1500euros MENSUALES
REQUISITOS: PERMISO CONDUCIR Y COCHE 
INTERESADOS: LLAMAR AL TFNO 923229983 ANTES DEL 05/10/26</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=392732'>Oficina Virtual</a></p>";;ECYL;1179298360665;Valdelosa;41.170143;-5.782479;37;1285680288282;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680288282/Empleo;41.170143, -5.782479
Conductor de trailer;Salamanca;2026-09-18;"<p>Empresa dedicada al transporte de mercancías por carretera necesita CONDUCTOR DE TRAILER. Para hacer ruta nacional. Se valorará experiencia en el puesto a ocupar. </p>
Más información en el tfno. 639437184.<br />
<br />
Oferta publicada en La Gaceta de Salamanca.";;Internet / Prensa;;;;;;1285680146807;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680146807/Empleo;
ALBAÑILES;Salamanca;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394037'>Oficina Virtual</a></p>;;ECYL;1179298231776;Ciudad Rodrigo;40.602055;-6.531306;37;1285680402854;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680402854/Empleo;40.602055, -6.531306
TRABAJADORES DE GANADO PORCINO EN INTENSIVO;Salamanca;2026-09-18;<p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394277'>Oficina Virtual</a></p>;;ECYL;1179298231776;Ciudad Rodrigo;40.602055;-6.531306;37;1285680216354;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680216354/Empleo;40.602055, -6.531306
AUXILIARES DE FARMACIA;Segovia;2026-09-18;<p>AUXILIAR DE FARMACIA PARA SEGOVIA. INDEFINIDO/ COMPLETA. CON TITULACIÓN</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394621'>Oficina Virtual</a></p>;;ECYL;1179298563848;Segovia;40.94356;-4.1130023;40;1285680216326;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680216326/Empleo;40.94356, -4.1130023
RECEPCIONISTAS DE HOTEL;Segovia;2026-09-18;"<p>Imprescindible disponer de un buen nivel de inglés hablado y escrito, así como de conocimientos de ofimática.
Jornada completa en turnos rotatorios.</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394333'>Oficina Virtual</a></p>";;ECYL;1179298563848;Segovia;40.94356;-4.1130023;40;1285680473272;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473272/Empleo;40.94356, -4.1130023
CARPINTEROS-EBANISTAS ARTESANOS;Segovia;2026-09-18;"<p>CORTE Y MECANIZADO DE PIEZAS DE MADERA 
MONTAJE DE ESTRUCTURAS</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394667'>Oficina Virtual</a></p>";;ECYL;1179298412438;Ayllón;41.42002;-3.376055;40;1285680473714;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473714/Empleo;41.42002, -3.376055
PROFESORES TÉCNICOS DE FORMACIÓN PROFESIONAL (ELECTRICIDAD Y ELECTRÓNICA);Soria;2026-09-18;"<p>SE OFRECE PUESTO DE TRABAJO COMO PROFESOR/A DE SISTEMAS ELECTROTECNICOS Y AUTOMATICOS EN INSTITUTO DE SORIA
VACANTE CURSO COMPLETO HASTA 31-8-27
JORNADA PARCIAL DE 10 HORAS/SEMANA
INTERESADOS ENVIAR CV A: ecylempleosoria@jcyl.es INDICANDO EN EL ASUNTO OFERTA 08/2026/19678</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394494'>Oficina Virtual</a></p>";;ECYL;1179469197687;Soria;41.76443;-2.463772;42;1285680288637;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680288637/Empleo;41.76443, -2.463772
Peón de usos múltiples para el Ayto. de San Esteban de Gormaz (Soria);Soria;2026-09-18;"<p><strong>Convoca:</strong> Ayuntamiento de San Esteban de Gormaz (Soria)</p>
<p><strong>Cuerpo:</strong> PEÓN DE USOS MÚLTIPLES</p>
<p><strong>Plazas</strong>: 1</p>
<p><strong>Acceso: </strong>Concurso</p>
<p><strong>Titulación:</strong> No se requiere</p>
<p><strong>Plazo:</strong> Hasta el 23 de septiembre a las 14:00 horas</p><p><strong>Información obtenida de: </strong>Empleo público. <a href='https://sanestebandegormaz.sedelectronica.es/' target='_blank'>https://sanestebandegormaz.sedelectronica.es/</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://sanestebandegormaz.sedelectronica.es/preview-document/28e71d72-6f36-4354-8996-7943a9316e91/' target='_blank'>Consulte la convocatoria</a></li></ul></p>";;Organismo oficial;1179469189573;San Esteban de Gormaz;41.570534;-3.1993084;42;1285680157197;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680157197/Empleo;41.570534, -3.1993084
COCINEROS, EN GENERAL;Soria;2026-09-18;<p>Contrato temporal sustitución de baja médica. Jornada completa. Interesados enviar CV a la dirección de email gestionlaboral@gestosoria.es, indicando en el asunto 'Oferta 19462 CCOCINERO/A Soria'</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=394278'>Oficina Virtual</a></p>;;ECYL;1179469197687;Soria;41.76443;-2.463772;42;1285680216260;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680216260/Empleo;41.76443, -2.463772
Auxiliar de Administrativo para el Ayto. de San Esteban de Gormaz (Soria);Soria;2026-09-18;"<p><strong>Convoca:</strong> Ayuntamiento de San Esteban de Gormaz</p>
<p><strong>Cuerpo:</strong> AUXILIAR ADMINISTRATIVO/A</p>
<p><strong>Plazas:</strong> 1</p>
<p><strong>Acceso:</strong> Concurso</p>
<p><strong>Titulación:</strong> Título de E.S.O. o equivalente</p>
<p><strong>Plazo</strong>: Hasta el 23 de septiembre a las 14:00 horas</p><p><strong>Información obtenida de: </strong>Empleo público. <a href='https://sanestebandegormaz.sedelectronica.es' target='_blank'>https://sanestebandegormaz.sedelectronica.es</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://sanestebandegormaz.sedelectronica.es/preview-document/d177f5e6-bcc8-4623-861d-520a67ed1596/' target='_blank'>Consulte la convocatoria</a></li></ul></p>";;Organismo oficial;1179469189573;San Esteban de Gormaz;41.570534;-3.1993084;42;1285680157225;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680157225/Empleo;41.570534, -3.1993084
Auxiliar de Turismo para el Ayto. de San Esteban de Gormaz (Soria);Soria;2026-09-18;"<p><strong>Convoca: </strong>Ayuntamiento de San Esteban de Gormaz (Soria)</p>
<p><strong>Cuerpo: </strong>AUXILIAR DE TURISMO</p>
<p><strong>Plazas:</strong> 1</p>
<p><strong>Acceso:</strong> Concurso</p>
<p><strong>Titulación: </strong>No se requiere</p>
<p><strong>Plazo:</strong> Hasta el 23 de septiembre a las 14:00 horas</p><p><strong>Información obtenida de: </strong>Empleo público. <a href='https://sanestebandegormaz.sedelectronica.es' target='_blank'>https://sanestebandegormaz.sedelectronica.es</a></p><p><strong>Enlaces relacionados:</strong><ul><li><a href='https://sanestebandegormaz.sedelectronica.es/preview-document/2f23683f-7c6e-4963-b634-8ce6bbeb6065/' target='_blank'>Consulte la convocatoria</a></li></ul></p>";;Organismo oficial;1179469189573;San Esteban de Gormaz;41.570534;-3.1993084;42;1285680157169;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680157169/Empleo;41.570534, -3.1993084
JARDINEROS, EN GENERAL;Valladolid;2026-09-18;"<p>AUXILIAR DE JARDINERÍA CON DISCAPACIDAD-BOECILLO
IMPRESCINDIBLE DISPONER DE MEDIO DE TRANSPORTE PARA ACUDIR AL CENTRO DE TRABAJO
CONTRATO TEMPORAL CON POSIBILIDAD DE TRANSFORMACIÓN EN INDEFINIDO
JORNADA A TIEMPO COMPLETO (DE 07:30 A 15:00 HORAS). POSIBILIDAD DE REDUCIRLA
SE VALORA CARNET DE FITOSANITARIOS</p><p>Para más información acuda a <a href='http://empleocastillayleon.jcyl.es/oficinavirtual/buscoEmpleoPub.do?srvc=ver&scope=reg&cod=387923'>Oficina Virtual</a></p>";;ECYL;1179469238603;Boecillo;41.541515;-4.7005973;47;1285680473686;2026-09-18;https://empleo.jcyl.es/web/jcyl/Empleo/es/Plantilla100Detalle/1284216458054/OfertasEmpleo/1285680473686/Empleo;41.541515, -4.7005973
