CURSO ACADÉMICO;CÓDIGO;C.SITUACIÓN;SITUACIÓN;C.NATURALEZA;NATURALEZA;C.DENOMINACIÓN GENÉRICA;DENOMINACIÓN GENÉRICA;DENOMINACIÓN GENÉRICA BREVE;DENOMINACIÓN ESPECÍFICA;C.VÍA;VÍA;NOMBRE DE LA VÍA;NÚMERO;NÚMERO(EXT);PISO;PISO(EXT);ESCALERA;LETRA;C.PROV;C.MUNI;C.LOCA;PROVINCIA;MUNICIPIO;LOCALIDAD;C.POSTAL;TELÉFONO;FAX;LETRA;CORREO ELECTRÓNICO;WEB;COORD. LONGITUD;COORD. LATITUD;C.R.A;INTERNADO;CONCIERTO;JORNADA CONTINUA;COMEDOR;TRANSPORTE;Localización
2026;05000816;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;JUAN ARRABAL;CALLE;CALLE;DEL TESO;;S/N;;;;;5;21;1;AVILA;BARCO DE ÁVILA (EL);BARCO DE ÁVILA (EL);5600;920341053;920341053;;05000816@educa.jcyl.es;http://ceipjuanarrabal.centros.educa.jcyl.es/sitio/;-5.52157;40.35701;N;N;N;S;S;S;40.35701, -5.52157
2026;05001535;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;MORENO ESPINOSA;AV.;AVENIDA;DE LA CONSTITUCIÓN;64;;;;;;5;57;1;AVILA;CEBREROS;CEBREROS;5260;918630289;918630289;;05001535@educa.jcyl.es;http://ceipmorenoespinosa.centros.educa.jcyl.es;-4.46481;40.45794;N;N;N;S;N;N;40.45794, -4.46481
2026;05000521;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;REINA FABIOLA DE BÉLGICA;CALLE;CALLE;DAVID HERRERO;16;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5005;920222137;920222137;;05000521@educa.jcyl.es;http://ceipreinafabiola.centros.educa.jcyl.es;-4.69036;40.65977;N;N;N;S;S;N;40.65977, -4.69036
2026;05002497;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;REYES CATÓLICOS;PZ.;PLAZA;DEL CRISTO;7;;;;;;5;114;1;AVILA;MADRIGAL DE LAS ALTAS TORRES;MADRIGAL DE LAS ALTAS TORRES;5220;920320267;920320267;;05002497@educa.jcyl.es;http://cpreyescatolicos.centros.educa.jcyl.es;-4.99753;41.087;N;N;N;S;S;S;41.087, -4.99753
2026;05003799;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;SAN JUAN DE LA CRUZ;CALLE;CALLE;NAVAREJOS;77;;;;;;5;187;1;AVILA;PIEDRALAVES;PIEDRALAVES;5440;918665033;918665033;;05003799@educa.jcyl.es;http://ceipsanjuandelacruz.centros.educa.jcyl.es/;-4.70707;40.31404;N;N;N;S;S;N;40.31404, -4.70707
2026;05005449;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;SANTA ANA;CALLE;CALLE;SAN JOAQUÍN;;S/N;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5001;920228310;920228310;;05005449@educa.jcyl.es;http://cpsantaana.centros.educa.jcyl.es;-4.69066;40.65511;N;N;N;S;N;N;40.65511, -4.69066
2026;05000038;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;VILLA DE LA ADRADA;AV.;AVENIDA;DE CASTILLA Y LEÓN;13;;;;;;5;2;1;AVILA;ADRADA (LA);ADRADA (LA);5430;918670486;918670486;;05000038@educa.jcyl.es;http://ceipvilladelaadrada.centros.educa.jcyl.es;-4.63428;40.29901;N;N;N;S;S;N;40.29901, -4.63428
2026;05002291;A;ALTA;1;PÚBLICO;77;CENTRO DE EDUCACIÓN OBLIGATORIA;CEO;VIRGEN DE NAVASERRADA;CALLE;CALLE;LA PITANZA;6;;;;;;5;102;1;AVILA;HOYO DE PINARES (EL);HOYO DE PINARES (EL);5250;918638124;918638229;;05002291@educa.jcyl.es;http://ceovirgendenavaserrada.centros.educa.jcyl.es;-4.41906;40.50003;N;N;N;S;N;N;40.50003, -4.41906
2026;05009601;A;ALTA;1;PÚBLICO;31;CENTRO PUBLICO DE EDUCACION DE PERSONAS ADULTAS;CEPA;CENTRO DE ADULTOS DE EL BARCO DE ÁVILA;CALLE;CALLE;Cordel de Extremadura;2;;;;;;5;21;1;AVILA;BARCO DE ÁVILA (EL);BARCO DE ÁVILA (EL);5600;920340800;;;05009601@educa.jcyl.es;http://cepaelbarcodeavila.centros.educa.jcyl.es/sitio/;-5.52011;40.35617;N;N;N;N;N;N;40.35617, -5.52011
2026;05006557;A;ALTA;1;PÚBLICO;31;CENTRO PUBLICO DE EDUCACION DE PERSONAS ADULTAS;CEPA;CENTRO DE ADULTOS DE EL TIEMBLO;PZ.;PLAZA;DE LA NAVA;15;;;;;;5;241;5;AVILA;TIEMBLO (EL);TIEMBLO (EL);5270;918627148;;;05006557@educa.jcyl.es;http://cepaeltiemblo.centros.educa.jcyl.es;-4.50143;40.41223;N;N;N;N;N;N;40.41223, -4.50143
2026;05006569;A;ALTA;1;PÚBLICO;31;CENTRO PUBLICO DE EDUCACION DE PERSONAS ADULTAS;CEPA;CENTRO DE ADULTOS DE SOTILLO DE LA ADRADA;CALLE;CALLE;DOCTOR DÍAZ PALACIOS;80;;;;;;5;240;2;AVILA;SOTILLO DE LA ADRADA;SOTILLO DE LA ADRADA;5420;918601200;;;05006569@educa.jcyl.es;http://cepasotillodelaadrada.centros.educa.jcyl.es/;-4.57986;40.29278;N;N;N;N;N;N;40.29278, -4.57986
2026;05000661;A;ALTA;2;PRIVADO;72;CENTRO PRIVADO DE EDUCACION INFANTIL PRIMARIA Y SECUNDARIA;Colegio;PABLO VI;CALLE;CALLE;RAFAELA DE ANTONIO;2;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5002;920223157;920256549;;05000661@educa.jcyl.es;http://www.colegiopablovi.es;-4.69951;40.64858;N;N;S;S;S;N;40.64858, -4.69951
2026;05009901;A;ALTA;2;PRIVADO;602;CENTRO PRIVADO AUTORIZADO DE ENSEÑANZAS DEPORTIVAS DE HÍPICA;CPR ED H.;ALL SPORTS HÍPICA;CALLE;CALLE;RAFAELA DE ANTONIO;2;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5002;;;;05009901@educa.jcyl.es;;-4.70247;40.64876;N;N;N;N;N;N;40.64876, -4.70247
2026;05009984;A;ALTA;2;PRIVADO;4;CENTRO PRIVADO DE EDUCACION INFANTIL;CPrEI;ARLEQUÍN;PZ.;PLAZA;DE LOS SAUCES;6;LOCAL 1;;;;;5;16;1;AVILA;ARÉVALO;ARÉVALO;5200;615194626;;;05009984@educa.jcyl.es;;-4.72347;41.05492;N;N;N;N;N;N;41.05492, -4.72347
2026;05010044;A;ALTA;2;PRIVADO;4;CENTRO PRIVADO DE EDUCACION INFANTIL;CPrEI;Jardín Santísima Trinidad;CALLE;CALLE;Molino Nuevo;23;;;;;;5;241;5;AVILA;TIEMBLO (EL);TIEMBLO (EL);5270;918627341;;;05010044@educa.jcyl.es;;-4.50191;40.41749;N;N;N;N;N;N;40.41749, -4.50191
2026;05010007;A;ALTA;2;PRIVADO;4;CENTRO PRIVADO DE EDUCACION INFANTIL;CPrEI;Minúscula;CALLE;CALLE;Hornos Caleros;62;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;643513858;;;05010007@educa.jcyl.es;;-4.67712;40.64948;N;N;N;N;N;N;40.64948, -4.67712
2026;05009960;A;ALTA;2;PRIVADO;4;CENTRO PRIVADO DE EDUCACION INFANTIL;CPrEI;PIRULETAS;CALLE;CALLE;RIOJA;5;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;616520582;;;05009960@educa.jcyl.es;;-4.69798;40.64842;N;N;N;N;N;N;40.64842, -4.69798
2026;05000774;A;ALTA;1;PÚBLICO;501;ESCUELA DE ARTE Y SUPERIOR DE CONSERVACIÓN Y RESTAURACIÓN DE BIENES CULTURALES;EA;ESCUELA DE ARTE DE ÁVILA;PZ.;PLAZA;DE GRANADA;2;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920221662;920253204;;05000774@educa.jcyl.es;http://www.escueladeartedeavila.es/;-4.69024;40.65004;N;N;N;N;N;N;40.65004, -4.69024
2026;05006481;A;ALTA;1;PÚBLICO;3;ESCUELA DE EDUCACION INFANTIL;EEI;CAMPO DEL HABANERO;CALLE;CALLE;MADRIGAL DE LAS ALTAS TORRES;5;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920251787;920251787;;05006481@educa.jcyl.es;;-4.68507;40.65124;N;N;N;N;S;N;40.65124, -4.68507
2026;05009789;A;ALTA;1;PÚBLICO;3;ESCUELA DE EDUCACION INFANTIL;EEI;I NAVALUENGA;CALLE;CALLE;DOCTOR MIGUEL TOLEDANO;1;;;;;;5;163;1;AVILA;NAVALUENGA;NAVALUENGA;5100;920286001;920298497;;05009789@educa.jcyl.es;http://www.navaluenga.es/;-4.70769;40.41096;N;N;N;N;S;N;40.41096, -4.70769
2026;05009728;A;ALTA;1;PÚBLICO;3;ESCUELA DE EDUCACION INFANTIL;EEI;LAS MORERAS;CALLE;CALLE;GERARDO SÁNCHEZ;10;;;;;;5;47;1;AVILA;CANDELEDA;CANDELEDA;5480;610101039;;;05009728@educa.jcyl.es;;-5.23832;40.15454;N;N;N;N;S;N;40.15454, -5.23832
2026;05009935;A;ALTA;1;PÚBLICO;3;ESCUELA DE EDUCACION INFANTIL;EEI;LAS NAVAS DEL MARQUÉS;TR.;TRAVESIA;GRUPO ESCOLAR;12;;;;;;5;168;3;AVILA;NAVAS DEL MARQUÉS (LAS);NAVAS DEL MARQUÉS (LAS);5230;918972000;;;05009935@educa.jcyl.es;;-4.33734;40.60495;N;N;N;N;N;N;40.60495, -4.33734
2026;05009613;A;ALTA;1;PÚBLICO;3;ESCUELA DE EDUCACION INFANTIL;EEI;PIEDRA MACHUCANA;CALLE;CALLE;SANTO TOMÁS;1;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920201660;;;05009613@educa.jcyl.es;;-4.69129;40.64809;N;N;N;N;S;N;40.64809, -4.69129
2026;05009753;A;ALTA;1;PÚBLICO;3;ESCUELA DE EDUCACION INFANTIL;EEI;SOLETILLOS;CALLE;CALLE;MÁRTIRES;;S/N;;;;;5;240;2;AVILA;SOTILLO DE LA ADRADA;SOTILLO DE LA ADRADA;5420;918601071;;;05009753@educa.jcyl.es;;-4.55433;40.30351;N;N;N;N;S;N;40.30351, -4.55433
2026;05006375;A;ALTA;1;PÚBLICO;185;ESCUELA DE MUSICA;EM;ESCUELA DE MÚSICA DE ARENAS DE SAN PEDRO;PZ.;PLAZA;DEL GENERALÍSIMO;1;;;;;;5;14;1;AVILA;ARENAS DE SAN PEDRO;ARENAS DE SAN PEDRO;5400;920370005;;;05006375@educa.jcyl.es;;-5.09046;40.20898;N;N;N;N;N;N;40.20898, -5.09046
2026;05005644;A;ALTA;1;PÚBLICO;80;ESCUELA OFICIAL DE IDIOMAS;EOI;ESCUELA OFICIAL DE IDIOMAS DE ÁVILA;CALLE;CALLE;SOTERA ALCÁNTARA;;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920212089;920352477;;05005644@educa.jcyl.es;http://eoiavila.centros.educa.jcyl.es;-4.68004;40.65089;N;N;N;N;N;N;40.65089, -4.68004
2026;05000701;A;ALTA;1;PÚBLICO;42;INSTITUTO DE EDUCACION SECUNDARIA;IES;ALONSO DE MADRIGAL;CALLE;CALLE;JUAN GRANDE;1;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920222185;920227448;;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/sitio/;-4.69048;40.649;N;N;N;S;N;S;40.649, -4.69048
2026;05005395;A;ALTA;1;PÚBLICO;42;INSTITUTO DE EDUCACION SECUNDARIA;IES;ARAVALLE;CALLE;CALLE;LAS ERAS;;S/N;;;;;5;21;1;AVILA;BARCO DE ÁVILA (EL);BARCO DE ÁVILA (EL);5600;920340179;920341072;;05005395@educa.jcyl.es;http://iesaravalle.centros.educa.jcyl.es;-5.52091;40.3577;N;N;N;S;S;S;40.3577, -5.52091
2026;05003775;A;ALTA;1;PÚBLICO;42;INSTITUTO DE EDUCACION SECUNDARIA;IES;GREDOS;CRA.;CARRETERA;DE PESQUERA;;S/N;;;;;5;186;5;AVILA;PIEDRAHÍTA;PIEDRAHÍTA;5500;920360025;920360823;;05003775@educa.jcyl.es;http://iesgredos.centros.educa.jcyl.es;-5.32459;40.45991;N;N;N;S;S;S;40.45991, -5.32459
2026;05001547;A;ALTA;1;PÚBLICO;42;INSTITUTO DE EDUCACION SECUNDARIA;IES;HERMENEGILDO MARTÍN BORRO;CALLE;CALLE;EL MANCHO;;S/N;;;;;5;57;1;AVILA;CEBREROS;CEBREROS;5260;918630129;;;05001547@educa.jcyl.es;http://ieshermenegildomartinborro.centros.educa.jcyl.es;-4.46293;40.46284;N;N;N;S;N;S;40.46284, -4.46293
2026;05000671;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;ARTURO DUPERIER;AV.;AVENIDA;DE LA JUVENTUD;10;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5003;920229511;920229511;;05000671@educa.jcyl.es;http://ceiparturoduperier.centros.educa.jcyl.es;-4.68705;40.6481;N;N;N;S;S;N;40.6481, -4.68705
2026;05000488;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CLAUDIO SÁNCHEZ ALBORNOZ;CALLE;CALLE;CRUZ ROJA;2;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5001;920221909;920221909;;05000488@educa.jcyl.es;http://cpclaudiosanchezalbornoz.centros.educa.jcyl.es;-4.68826;40.65637;N;N;N;S;S;N;40.65637, -4.68826
2026;05002345;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA ALTO GREDOS;CALLE;CALLE;ENSALERO;11;;;;;;5;105;1;AVILA;HOYOS DEL ESPINO;HOYOS DEL ESPINO;5634;920349066;920349066;;05002345@educa.jcyl.es;http://craaltogredos.centros.educa.jcyl.es/;-5.17696;40.3525;S;N;N;S;N;N;40.3525, -5.17696
2026;05005942;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA LA SIERRA;CALLE;CALLE;LA FUENTE;;S/N;;;;;5;59;1;AVILA;CILLÁN;CILLÁN;5149;920232533;;;05005942@educa.jcyl.es;http://cra-lasierra.centros.educa.jcyl.es/;-4.97559;40.7062;S;N;N;S;S;N;40.7062, -4.97559
2026;05005954;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA LAS COGOTAS;CALLE;CALLE;LA ESTACIÓN;4;;;;;;5;49;1;AVILA;CARDEÑOSA;CARDEÑOSA;5320;920260187;;;05005954@educa.jcyl.es;http://cralascogotas.centros.educa.jcyl.es;-4.74669;40.74105;S;N;N;S;N;N;40.74105, -4.74669
2026;05006077;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA SANTA TERESA;CALLE;CALLE;CAMINO DE VITA;8;;;;;;5;65;1;AVILA;CRESPOS;CRESPOS;5300;920244015;920244015;;05006077@educa.jcyl.es;http://crasantateresa.centros.educa.jcyl.es;-4.97116;40.86957;S;N;N;S;N;S;40.86957, -4.97116
2026;05006089;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA TOMÁS LUIS DE VICTORIA;CALLE;CALLE;ALEJANDRO RABADÁN;;S/N;;;;;5;204;2;AVILA;SANCHIDRIÁN;SANCHIDRIÁN;5290;920318290;920318290;;05006089@educa.jcyl.es;http://cratomasluisdevictoria.centros.educa.jcyl.es;-4.58284;40.89152;S;N;N;S;N;S;40.89152, -4.58284
2026;05005991;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;CRA VETONIA;CALLE;CALLE;CAMINO DE TEJAR;;S/N;;;;;5;189;1;AVILA;POYALES DEL HOYO;POYALES DEL HOYO;5492;920390168;;;05005991@educa.jcyl.es;http://cravetonia.centros.educa.jcyl.es;-5.16512;40.17354;S;N;N;S;S;N;40.17354, -5.16512
2026;05005383;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;EL PRADILLO;CALLE;CALLE;ARSENIO GUTIÉRREZ PALACIOS;;S/N;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5005;920256839;920256839;;05005383@educa.jcyl.es;http://ceipelpradillo.centros.educa.jcyl.es/;-4.69255;40.66429;N;N;N;S;S;S;40.66429, -4.69255
2026;05001237;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;EL ZAIRE;CALLE;CALLE;GOYA;31;;;;;;5;41;1;AVILA;BURGOHONDO;BURGOHONDO;5113;920283038;920283038;;05001237@educa.jcyl.es;http://cpelzaire.centros.educa.jcyl.es;-4.78933;40.4152;N;N;N;S;N;S;40.4152, -4.78933
2026;05005632;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;JUAN DE YEPES;CALLE;CALLE;JUAN DE YEPES;2;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5002;920227554;920227554;;05005632@educa.jcyl.es;http://ceipjuandeyepes.centros.educa.jcyl.es;-4.70235;40.64882;N;N;N;S;S;N;40.64882, -4.70235
2026;05004780;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;JUAN LUIS VIVES;CALLE;CALLE;LA DEHESA;89;;;;;;5;240;2;AVILA;SOTILLO DE LA ADRADA;SOTILLO DE LA ADRADA;5420;918660250;;;05004780@educa.jcyl.es;http://ceipjuanluisvives.centros.educa.jcyl.es;-4.59087;40.29085;N;N;N;S;S;S;40.29085, -4.59087
2026;05001791;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;JUAN XXIII;CALLE;CALLE;DEL CARMEN;23;;;;;;5;74;1;AVILA;FONTIVEROS;FONTIVEROS;5310;920245231;920245353;;05001791@educa.jcyl.es;http://ceipjuanxxiiifontiveros.centros.educa.jcyl.es;-4.96404;40.93271;N;N;N;S;S;S;40.93271, -4.96404
2026;05000361;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;LA MORAÑA;CALLE;CALLE;DE LOS DESCALZOS;87;;;;;;5;16;1;AVILA;ARÉVALO;ARÉVALO;5200;920300075;920300075;;05000361@educa.jcyl.es;http://ceiplamorana.centros.educa.jcyl.es/sitio/;-4.71395;41.05662;N;N;N;S;S;S;41.05662, -4.71395
2026;05003337;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;LAS RUBIERAS;PS.;PASEO;DE LAS ACACIAS;26;;;;;;5;163;1;AVILA;NAVALUENGA;NAVALUENGA;5100;920286160;920286160;;05003337@educa.jcyl.es;http://ceiplasrubieras.centros.educa.jcyl.es;-4.70565;40.41205;N;N;N;S;N;N;40.41205, -4.70565
2026;05000506;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;SAN ESTEBAN;CALLE;CALLE;MÉDICO FERNANDO TOMÉ;1;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5001;920213026;;;05000506@educa.jcyl.es;http://ceipsanesteban.centros.educa.jcyl.es;-4.70586;40.65666;N;N;N;S;S;N;40.65666, -4.70586
2026;05000491;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;SAN PEDRO BAUTISTA;PZ.;PLAZA;DE LA FERIA;;S/N;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5002;920211608;920211608;;05000491@educa.jcyl.es;http://ceipsanpedrobautista.centros.educa.jcyl.es/;-4.70073;40.65158;N;N;N;S;S;N;40.65158, -4.70073
2026;05000518;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;SANTA TERESA;CALLE;CALLE;CARLOS LUIS DE CUENCA;2;;;;;;5;19;3;AVILA;ÁVILA;ÁVILA;5001;920257217;;;05000518@educa.jcyl.es;http://ceipsantateresa.centros.educa.jcyl.es;-4.69437;40.6571;N;N;N;S;S;N;40.6571, -4.69437
2026;05003431;A;ALTA;1;PÚBLICO;14;COLEGIO DE EDUCACION INFANTIL Y PRIMARIA;CEIP;VICENTE ALEIXANDRE;TR.;TRAVESIA;DEL SAÚCO;;S/N;;;;;5;168;3;AVILA;NAVAS DEL MARQUÉS (LAS);NAVAS DEL MARQUÉS (LAS);5230;918970208;918970208;;05003431@educa.jcyl.es;http://cpvicentealeixandre.centros.educa.jcyl.es;-4.33368;40.60577;N;N;N;S;S;N;40.60577, -4.33368
