Provincia;Localidad;Código Centro;Centro Educativo;Titularidad Centro;Familia Profesional;Código Familia;Nivel Educativo;Clave Ciclo;Ciclo Formativo/Curso de Especialización;Modalidad;"Tipo
enseñanza";Grupos 1º;Grupos 2º;Grupos 3º;Dirección centro;Código postal;Teléfono;e-mail;Web;Localización
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Informática y Comunicaciones;IFC;Grado Superior;IFC01S;Administración de Sistemas Informáticos en Red;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Informática y Comunicaciones;IFC;Curso Especialización;IFC01E;Ciberseguridad en entornos de las tecnologías de la información;Presencial;Pública;1.0;0.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Administración y Gestión;ADG;Grado Básico;ADG01B;Servicios Administrativos;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Administración y Gestión;ADG;Grado Medio;ADG01M;Gestión Administrativa;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 222185;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000701;IES ALONSO DE MADRIGAL;Educación;Informática y Comunicaciones;IFC;Grado Superior;IFC03S;Desarrollo de Aplicaciones WEB;Presencial;Pública;1.0;1.0;;C/ Juan Grande, 1;05003;920 221 875;05000701@educa.jcyl.es;http://iesalonsodemadrigal.centros.educa.jcyl.es/;40.649, -4.69048
Ávila;Ávila;05000725;IES ISABEL DE CASTILLA;Educación;Sanidad;SAN;Grado Superior;SAN04S;Anatomía Patológica y Citodiagnóstico;Presencial;Pública;1.0;1.0;;Paseo San Roque, s/n;05003;920 352 144;05000725@educa.jcyl.es;http://iesisabeldecastilla.centros.educa.jcyl.es;40.65395, -4.68693
Ávila;Ávila;05000725;IES ISABEL DE CASTILLA;Educación;Sanidad;SAN;Grado Medio;SAN21;Cuidados Auxiliares de Enfermería;Presencial;Pública;3.0;3.0;;Paseo San Roque, s/n;05003;920 352 144;05000725@educa.jcyl.es;http://iesisabeldecastilla.centros.educa.jcyl.es;40.65395, -4.68693
Ávila;Ávila;05000725;IES ISABEL DE CASTILLA;Educación;Seguridad y Medio Ambiente;SEA;Grado Superior;SEA03S;Química y Salud Ambiental;Presencial;Pública;1.0;1.0;;Paseo San Roque, s/n;05003;920 352 144;05000725@educa.jcyl.es;http://iesisabeldecastilla.centros.educa.jcyl.es;40.65395, -4.68693
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Edificación y Obra Civil;EOC;Grado Medio;EOC02M;Obras de Interior, Decoración y Rehabilitación;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Informática y Comunicaciones;IFC;Curso Especialización;IFC03E;Inteligencia Artificial y Big Data;Presencial;Pública;1.0;0.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Comercio y Marketing;COM;Grado Superior;COM04S;Comercio Internacional;Presencial;Pública;1.0;0.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Electricidad y Electrónica;ELE;Grado Básico;ELE01B;Electricidad y Electrónica;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Electricidad y Electrónica;ELE;Grado Medio;ELE02M;Instalaciones de Telecomunicaciones;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Electricidad y Electrónica;ELE;Grado Superior;ELE04S;Automatización y Robótica Industrial;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Edificación y Obra Civil;EOC;Grado Superior;EOC01S;Proyectos de Edificación;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Instalación y Mantenimiento;IMA;Grado Superior;IMA03S;Mecatrónica Industrial;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Electricidad y Electrónica;ELE;Grado Medio;ELE01M;Instalaciones Eléctricas y Automáticas;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Electricidad y Electrónica;ELE;Grado Superior;ELE02S;Sistemas de Telecomunicaciones e Informáticos;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Instalación y Mantenimiento;IMA;Grado Medio;IMA03M;Mantenimiento Electromecánico;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Ávila;05000737;IES VASCO DE LA ZARZA;Educación;Instalación y Mantenimiento;IMA;Grado Superior;MSP34;Prevención de Riesgos Profesionales;Presencial;Pública;1.0;1.0;;C/ Valladolid, 19;05005;920 227 300;05000737@educa.jcyl.es;http://www.vascodelazarza.com;40.65966, -4.6936
Ávila;Cebreros;05001547;IES HERMENEGILDO MARTÍN BORRO;Educación;Electricidad y Electrónica;ELE;Grado Básico;ELE01B;Electricidad y Electrónica;Presencial;Pública;1.0;1.0;;C/ El Mancho, s/n;05260;918 630 129;05001547@educa.jcyl.es;http://ieshermenegildomartinborro.centros.educa.jcyl.es;40.46284, -4.46293
Ávila;Cebreros;05001547;IES HERMENEGILDO MARTÍN BORRO;Educación;Electricidad y Electrónica;ELE;Grado Medio;ELE01M;Instalaciones Eléctricas y Automáticas;Presencial;Pública;1.0;1.0;;C/ El Mancho, s/n;05260;918 630 129;05001547@educa.jcyl.es;http://ieshermenegildomartinborro.centros.educa.jcyl.es;40.46284, -4.46293
Ávila;Ávila;05004378;CIFP AGRARIO ÁVILA;Agricultura;Agraria;AGA;Grado Medio;AGA02M;Producción Agropecuaria;Presencial;Pública;1.0;1.0;;Finca Bascarrabal, Ctra. de Piedrahita, s/n;05071;920 253 070;05004378@educa.jcyl.es;http://cfaavila.centros.educa.jcyl.es/sitio/;40.64435, -4.74024
Ávila;Ávila;05004378;CIFP AGRARIO ÁVILA;Agricultura;Agraria;AGA;Grado Superior;AGA03S;Ganadería y Asistencia en Sanidad Animal;Presencial;Pública;1.0;0.0;;Finca Bascarrabal, Ctra. de Piedrahita, s/n;05071;920 253 070;05004378@educa.jcyl.es;http://cfaavila.centros.educa.jcyl.es/sitio/;40.64435, -4.74024
Ávila;Ávila;05004378;CIFP AGRARIO ÁVILA;Agricultura;Industrias Alimentarias;INA;Grado Superior;INA02S;Procesos y Calidad en la Industria Alimentaria;Presencial;Pública;1.0;0.0;;Finca Bascarrabal, Ctra. de Piedrahita, s/n;05071;920 253 070;05004378@educa.jcyl.es;http://cfaavila.centros.educa.jcyl.es/sitio/;40.64435, -4.74024
Ávila;La Serrada;05004585;JUAN XXIII;Privada;Transporte y Mantenimiento de Vehículos;TMV;Grado Superior;TMV01S;Automoción;Presencial;Concertada;1.0;1.0;;C/ Huertos, 20;05192;920 265 202;05004585@educa.jcyl.es;http://www.centrofpjuanxxiii.es/;40.61557, -4.75731
Ávila;La Serrada;05004585;JUAN XXIII;Privada;Transporte y Mantenimiento de Vehículos;TMV;Grado Medio;TMV02M;Electromecánica de Vehículos Automóviles;Presencial;Concertada;1.0;1.0;;C/ Huertos, 20;05192;920 265 202;05004585@educa.jcyl.es;http://www.centrofpjuanxxiii.es/;40.61557, -4.75731
Ávila;El Tiemblo;05004846;IES CLAUDIO SÁNCHEZ ALBORNOZ;Educación;Sanidad;SAN;Grado Medio;SAN21;Cuidados Auxiliares de Enfermería;Presencial;Pública;1.0;1.0;;C/ Juan Ramón Jiménez, 14;05270;918 625 161;05004846@educa.jcyl.es;http://iessanchezalbornoz.centros.educa.jcyl.es/;40.41286, -4.49743
Ávila;El Barco de Ávila;05005395;IES ARAVALLE;Educación;Administración y Gestión;ADG;Grado Medio;ADG01M;Gestión Administrativa;Presencial;Pública;1.0;1.0;;C/ Las Eras, s/n;05600;920 341 002;05005395@educa.jcyl.es;http://iesaravalle.centros.educa.jcyl.es;40.3577, -5.52091
Ávila;El Barco de Ávila;05005395;IES ARAVALLE;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Básico;TMV01B;Mantenimiento de Vehículos;Presencial;Pública;1.0;1.0;;C/ Las Eras, s/n;05600;920 341 002;05005395@educa.jcyl.es;http://iesaravalle.centros.educa.jcyl.es;40.3577, -5.52091
Ávila;La Adrada;05005425;IES SIERRA DEL VALLE;Educación;Administración y Gestión;ADG;Grado Superior;ADG02S;Administración y Finanzas;Presencial;Pública;1.0;1.0;;Avda. Dr. Martín Lázaro s/n;05430;918 670 911;05005425@educa.jcyl.es;http://iessierradelvalle.centros.educa.jcyl.es/;40.29822, -4.63168
Ávila;La Adrada;05005425;IES SIERRA DEL VALLE;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Básico;TMV01B;Mantenimiento de Vehículos;Presencial;Pública;1.0;1.0;;Avda. Dr. Martín Lázaro s/n;05430;918 670 911;05005425@educa.jcyl.es;http://iessierradelvalle.centros.educa.jcyl.es/;40.29822, -4.63168
Ávila;La Adrada;05005425;IES SIERRA DEL VALLE;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Medio;TMV02M;Electromecánica de Vehículos Automóviles;Presencial;Pública;1.0;1.0;;Avda. Dr. Martín Lázaro s/n;05430;918 670 911;05005425@educa.jcyl.es;http://iessierradelvalle.centros.educa.jcyl.es/;40.29822, -4.63168
Ávila;La Adrada;05005425;IES SIERRA DEL VALLE;Educación;Administración y Gestión;ADG;Grado Básico;ADG01B;Servicios Administrativos;Presencial;Pública;1.0;1.0;;Avda. Dr. Martín Lázaro s/n;05430;918 670 911;05005425@educa.jcyl.es;http://iessierradelvalle.centros.educa.jcyl.es/;40.29822, -4.63168
Ávila;La Adrada;05005425;IES SIERRA DEL VALLE;Educación;Informática y Comunicaciones;IFC;Grado Básico;IFC02B;Informática de Oficina;Presencial;Pública;1.0;0.0;;Avda. Dr. Martín Lázaro s/n;05430;918 670 911;05005425@educa.jcyl.es;http://iessierradelvalle.centros.educa.jcyl.es/;40.29822, -4.63168
Ávila;La Adrada;05005425;IES SIERRA DEL VALLE;Educación;Administración y Gestión;ADG;Grado Medio;ADG01M;Gestión Administrativa;Presencial;Pública;1.0;1.0;;Avda. Dr. Martín Lázaro s/n;05430;918 670 911;05005425@educa.jcyl.es;http://iessierradelvalle.centros.educa.jcyl.es/;40.29822, -4.63168
Ávila;Arévalo;05005462;IES ADAJA;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Superior;TMV01S;Automoción;Presencial;Pública;1.0;1.0;;C/ Asunción Valcarcel Maestro, s/n;05200;920 301 983;05005462@educa.jcyl.es;http://iesadaja.centros.educa.jcyl.es;41.05268, -4.71187
Ávila;Arévalo;05005462;IES ADAJA;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Medio;TMV01M;Carrocería;Presencial;Pública;1.0;1.0;;C/ Asunción Valcarcel Maestro, s/n;05200;920 301 983;05005462@educa.jcyl.es;http://iesadaja.centros.educa.jcyl.es;41.05268, -4.71187
Ávila;Arévalo;05005462;IES ADAJA;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Medio;TMV02M;Electromecánica de Vehículos Automóviles;Presencial;Pública;1.0;1.0;;C/ Asunción Valcarcel Maestro, s/n;05200;920 301 983;05005462@educa.jcyl.es;http://iesadaja.centros.educa.jcyl.es;41.05268, -4.71187
Ávila;Arévalo;05005462;IES ADAJA;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Básico;TMV01B;Mantenimiento de Vehículos;Presencial;Pública;1.0;1.0;;C/ Asunción Valcarcel Maestro, s/n;05200;920 301 983;05005462@educa.jcyl.es;http://iesadaja.centros.educa.jcyl.es;41.05268, -4.71187
Ávila;Arévalo;05005462;IES ADAJA;Educación;Transporte y Mantenimiento de Vehículos;TMV;Curso Especialización;TMV03E;Mantenimiento y seguridad en sistemas  de vehículos hibridos y eléctricos;Presencial;Pública;1.0;0.0;;C/ Asunción Valcarcel Maestro, s/n;05200;920 301 983;05005462@educa.jcyl.es;http://iesadaja.centros.educa.jcyl.es;41.05268, -4.71187
Ávila;Ávila;05006156;IES JORGE SANTAYANA;Educación;Hostelería y Turismo;HOT;Grado Básico;HOT01B;Cocina y Restauración;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 6;05003;920 352 135;05006156@educa.jcyl.es;http://iesjorgesantayana.centros.educa.jcyl.es;40.64841, -4.69151
Ávila;Ávila;05006156;IES JORGE SANTAYANA;Educación;Hostelería y Turismo;HOT;Grado Superior;HOT04S;Dirección de Cocina;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 6;05003;920 352 135;05006156@educa.jcyl.es;http://iesjorgesantayana.centros.educa.jcyl.es;40.64841, -4.69151
Ávila;Ávila;05006156;IES JORGE SANTAYANA;Educación;Hostelería y Turismo;HOT;Grado Medio;HOT01M;Cocina y Gastronomía;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 6;05003;920 352 135;05006156@educa.jcyl.es;http://iesjorgesantayana.centros.educa.jcyl.es;40.64841, -4.69151
Ávila;Ávila;05006156;IES JORGE SANTAYANA;Educación;Hostelería y Turismo;HOT;Grado Medio;HOT02M;Servicios en Restauración;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 6;05003;920 352 135;05006156@educa.jcyl.es;http://iesjorgesantayana.centros.educa.jcyl.es;40.64841, -4.69151
Ávila;Ávila;05006156;IES JORGE SANTAYANA;Educación;Hostelería y Turismo;HOT;Grado Superior;HOT03S;Guía, Información y Asistencias Turísticas;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 6;05003;920 352 135;05006156@educa.jcyl.es;http://iesjorgesantayana.centros.educa.jcyl.es;40.64841, -4.69151
Ávila;Ávila;05006156;IES JORGE SANTAYANA;Educación;Hostelería y Turismo;HOT;Grado Superior;HOT01S;Gestión de Alojamientos Turísticos;Presencial;Pública;0.0;1.0;;C/ Santo Tomás, 6;05003;920 352 135;05006156@educa.jcyl.es;http://iesjorgesantayana.centros.educa.jcyl.es;40.64841, -4.69151
Ávila;Candeleda;05006387;IES CANDAVERA;Educación;Informática y Comunicaciones;IFC;Grado Básico;IFC02B;Informática de Oficina;Presencial;Pública;1.0;1.0;;C/ Umbrías, 1;05480;920 382 305;05006387@educa.jcyl.es;http://iescandavera.centros.educa.jcyl.es;40.15344, -5.23886
Ávila;Las Navas del Marqués;05006399;IES MARÍA DE CÓRDOBA;Educación;Agraria;AGA;Grado Básico;AGA01B;Agro-jardinería y Composiciones Florales;Presencial;Pública;1.0;0.0;;C/ Prado de los charcos, s/n;05230;918 971 126;05006399@educa.jcyl.es;http://iesmariadecordoba.centros.educa.jcyl.es/;40.60693, -4.33301
Ávila;Las Navas del Marqués;05006399;IES MARÍA DE CÓRDOBA;Educación;Agraria;AGA;Grado Básico;AGA03B;Aprovechamientos Forestales;Presencial;Pública;1.0;1.0;;C/ Prado de los charcos, s/n;05230;918 971 126;05006399@educa.jcyl.es;http://iesmariadecordoba.centros.educa.jcyl.es/;40.60693, -4.33301
Ávila;Ávila;05009571;IES JOSE LUIS LÓPEZ ARANGUREN;Educación;Transporte y Mantenimiento de Vehículos;TMV;Grado Básico;TMV01B;Mantenimiento de Vehículos;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 10;05003;920 353 043;05009571@educa.jcyl.es;http://iesjoseluislopezaranguren.centros.educa.jcyl.es;40.64573, -4.69248
Ávila;Ávila;05009571;IES JOSE LUIS LÓPEZ ARANGUREN;Educación;Madera, Mueble y Corcho;MAM;Grado Básico;MAM01B;Carpintería y Mueble;Presencial;Pública;1.0;1.0;;C/ Santo Tomás, 10;05003;920 353 043;05009571@educa.jcyl.es;http://iesjoseluislopezaranguren.centros.educa.jcyl.es;40.64573, -4.69248
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Imagen Personal;IMP;Grado Básico;IMP01B;Peluquería y Estética;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Servicios Socioculturales y a la Comunidad;SSC;Grado Superior;SSC03S;Integración Social;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Actividades Físicas y Deportivas;AFD;Grado Medio;AFD02M;Guía en el medio natural y de tiempo libre;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Actividades Físicas y Deportivas;AFD;Grado Superior;AFD02S;Acondicionamiento Físico;Presencial;Pública;1.0;0.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Imagen Personal;IMP;Grado Medio;IMP01M;Estética y Belleza;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Imagen Personal;IMP;Grado Medio;IMP02M;Peluquería y Cosmética Capilar;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Imagen Personal;IMP;Grado Superior;IMP02S;Estilismo y Dirección de Peluquería;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Servicios Socioculturales y a la Comunidad;SSC;Grado Superior;SSC01S;Educación Infantil;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Actividades Físicas y Deportivas;AFD;Grado Superior;AFD01S;Enseñanza y Animación Sociodeportiva;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;Ávila;05009698;CIFP DE ÁVILA;Educación;Servicios Socioculturales y a la Comunidad;SSC;Grado Medio;SSC01M;Atención a Personas en Situación de Dependencia;Presencial;Pública;1.0;1.0;;C/ Giacomo Puccini, s/n;05003;920 258 290;05009698@educa.jcyl.es;http://cifpavila.centros.educa.jcyl.es;40.64327, -4.68422
Ávila;La Aldea del Rey Niño;05009868;LALDEA;Privada;Agraria;AGA;Grado Básico;AGA01B;Agro-jardinería y Composiciones Florales;Presencial;Concertada;1.0;1.0;;Ctra. Aldea del Rey Niño, km 0,85;05197;920 223 947;05009868@educa.jcyl.es;https://fundabemformacion.es/;40.58528, -4.74358
Ávila;Arenas de San Pedro;05009923;CIFP LAS FERRERÍAS;Educación;Electricidad y Electrónica;ELE;Grado Básico;ELE01B;Electricidad y Electrónica;Presencial;Pública;1.0;1.0;;Avda. de Lourdes, 2;05400;920 370 056;05009923@educa.jcyl.es;http://cifparenasdesanpedro.centros.educa.jcyl.es/;40.21005, -5.08499
Ávila;Arenas de San Pedro;05009923;CIFP LAS FERRERÍAS;Educación;Imagen Personal;IMP;Grado Básico;IMP01B;Peluquería y Estética;Presencial;Pública;1.0;1.0;;Avda. de Lourdes, 2;05400;920 370 056;05009923@educa.jcyl.es;http://cifparenasdesanpedro.centros.educa.jcyl.es/;40.21005, -5.08499
Ávila;Arenas de San Pedro;05009923;CIFP LAS FERRERÍAS;Educación;Administración y Gestión;ADG;Grado Superior;ADG02S;Administración y Finanzas;Presencial;Pública;1.0;1.0;;Avda. de Lourdes, 2;05400;920 370 056;05009923@educa.jcyl.es;http://cifparenasdesanpedro.centros.educa.jcyl.es/;40.21005, -5.08499
Ávila;Arenas de San Pedro;05009923;CIFP LAS FERRERÍAS;Educación;Actividades físicas y deportivas;AFD;Grado Superior;AFD02S;Acondicionamiento Físico;Presencial;Pública;1.0;0.0;;Avda. de Lourdes, 2;05400;920 370 056;05009923@educa.jcyl.es;http://cifparenasdesanpedro.centros.educa.jcyl.es/;40.21005, -5.08499
